user_code, email, gardian_phone, gardian_relation, gender, cur_grade, home_class, insert_date, name, phone, position_checker, school_code, school_name, update_date, user_id, user_pw
"100000015","teacher15@school.com",null,null,"M","3,"15",null,"박주훈","010-1387-4513","0","1000","선유고등학교",null,"mmm","mmm123"
"100020001","vj1d8@school.com","010-4111-5948","부","F","1","1",null,"신서진","010-4614-7223","1","1000","선유고등학교",null,"v204ap","l7hi3x0e"
"100020002","4vidx@school.com","010-2783-3544","부","M","1","1",null,"정지민","010-2864-9319","1","1000","선유고등학교",null,"p5tl7h","5aetcbz8"
"100020003","jg9v8@school.com","010-9179-8088","모","M","1","1",null,"한수빈","010-1827-6579","1","1000","선유고등학교",null,"aivnxc","e47f0hpv"
"100020004","bh1q6@school.com","010-5302-5103","모","M","1","1",null,"윤민준","010-7828-3323","1","1000","선유고등학교",null,"b5jusl","hg8640qs"
"100020005","8l7ds@school.com","010-5920-4854","부","M","1","1",null,"임지훈","010-8209-7386","1","1000","선유고등학교",null,"krq2ue","56qavm39"
"100020006","cfvu5@school.com","010-8327-2559","모","M","1","1",null,"이선우","010-5429-7152","1","1000","선유고등학교",null,"hvsi6p","z1rp5gqy"
"100020007","tjc9f@school.com","010-8316-5500","모","M","1","1",null,"임건우","010-9880-5829","1","1000","선유고등학교",null,"nkuyjt","pfaewh90"
"100020008","9eg7f@school.com","010-9287-8455","부","F","1","1",null,"이도윤","010-5578-6966","1","1000","선유고등학교",null,"8hixcn","7pbwmux5"
"100020009","78fol@school.com","010-4353-9275","부","M","1","1",null,"김도윤","010-2340-7807","1","1000","선유고등학교",null,"tvndg7","dxsja9o5"
"100020010","oucde@school.com","010-5150-5211","부","F","1","1",null,"박은서","010-7817-7376","1","1000","선유고등학교",null,"zjfqkv","bfil037v"
"100020011","7yi1g@school.com","010-9460-4531","부","M","1","1",null,"김민서","010-4613-7005","1","1000","선유고등학교",null,"m1xo56","jo1ni0y8"
"100020012","7toc0@school.com","010-3506-5485","모","F","1","1",null,"정서현","010-3696-8507","1","1000","선유고등학교",null,"psl73n","n69y78fm"
"100020013","6akzu@school.com","010-5733-6448","부","F","1","1",null,"정채원","010-5840-5374","1","1000","선유고등학교",null,"bhry19","ioj1zpsd"
"100020014","skgfj@school.com","010-1260-1787","모","F","1","1",null,"장민준","010-4009-2173","1","1000","선유고등학교",null,"styn56","q2z75iex"
"100020015","aipd9@school.com","010-8709-9914","모","M","1","1",null,"박서준","010-7857-2741","1","1000","선유고등학교",null,"iz7yxr","nsyjkzif"
"100020016","jenwp@school.com","010-8105-6498","부","M","1","1",null,"강예은","010-8022-6127","1","1000","선유고등학교",null,"h862b0","lcjwh4ui"
"100020017","ir7u1@school.com","010-4557-1951","부","F","1","1",null,"오서윤","010-3266-6981","1","1000","선유고등학교",null,"9jg4e1","x61yguli"
"100020018","7ax04@school.com","010-5608-8489","부","M","1","1",null,"신윤서","010-9794-4238","1","1000","선유고등학교",null,"tinx4u","0uxa5jen"
"100020019","0ybp2@school.com","010-8949-1899","부","M","1","1",null,"김하윤","010-1950-7145","1","1000","선유고등학교",null,"fewlj1","5efnd01o"
"100020020","vulb6@school.com","010-5303-5385","모","F","1","1",null,"최도윤","010-5815-8763","1","1000","선유고등학교",null,"ht52ps","ep7w8zb6"
"100020021","rhcvs@school.com","010-5170-9967","부","M","1","1",null,"임지후","010-6636-7255","1","1000","선유고등학교",null,"4yvxdl","lghvrcqs"
"100020022","5o28w@school.com","010-2297-2016","부","F","1","1",null,"윤윤서","010-8277-3581","1","1000","선유고등학교",null,"ga4lux","d65gzyiu"
"100020023","sxqub@school.com","010-8976-9476","모","M","1","1",null,"정도윤","010-9511-6070","1","1000","선유고등학교",null,"7c03at","a0pngr3f"
"100020024","xpy4g@school.com","010-3000-3953","부","F","1","1",null,"조현우","010-6509-1197","1","1000","선유고등학교",null,"8trx7q","eftoc6qk"
"100020025","xucv3@school.com","010-8116-8344","모","M","1","2",null,"박민준","010-2367-8440","1","1000","선유고등학교",null,"po2yb6","1o05aq4g"
"100020026","meb5o@school.com","010-5395-9534","모","M","1","2",null,"최주원","010-5634-6299","1","1000","선유고등학교",null,"f7mxb2","naxipcy2"
"100020027","lto06@school.com","010-1815-6681","부","F","1","2",null,"조현우","010-3055-7547","1","1000","선유고등학교",null,"1lyc39","t8u79bln"
"100020028","rgfpx@school.com","010-3883-7031","부","F","1","2",null,"오현우","010-4703-7331","1","1000","선유고등학교",null,"anmv1k","sp2izqab"
"100020029","u360q@school.com","010-7107-8395","부","M","1","2",null,"조민서","010-7066-6916","1","1000","선유고등학교",null,"6ytgqm","gcv67bom"
"100020030","f90a3@school.com","010-9572-6261","부","F","1","2",null,"서서준","010-2018-8911","1","1000","선유고등학교",null,"0nus3x","210if6cb"
"100020031","tl40n@school.com","010-7225-9407","부","M","1","2",null,"서지윤","010-4544-8955","1","1000","선유고등학교",null,"kdgu2n","37jkuzfr"
"100020032","hns80@school.com","010-8709-7128","모","M","1","2",null,"강예은","010-2999-7710","1","1000","선유고등학교",null,"lafpwe","1fndsucm"
"100020033","qoi5k@school.com","010-8699-4257","모","F","1","2",null,"조서현","010-5508-7765","1","1000","선유고등학교",null,"yf5zwx","8do2j9yt"
"100020034","7254c@school.com","010-6751-4765","모","M","1","2",null,"임수아","010-6323-3367","1","1000","선유고등학교",null,"23g8yh","w9fm8xbg"
"100020035","c34w2@school.com","010-2583-7221","모","M","1","2",null,"조서윤","010-6316-9948","1","1000","선유고등학교",null,"5liypw","yflhua0v"
"100020036","jv9bp@school.com","010-7314-9436","모","F","1","2",null,"신준우","010-1429-2072","1","1000","선유고등학교",null,"9jcglf","5y4gbt0k"
"100020037","ckitg@school.com","010-3554-7122","모","F","1","2",null,"강지후","010-8293-5834","1","1000","선유고등학교",null,"abyze0","qo4i0u63"
"100020038","a18g5@school.com","010-7478-3764","모","M","1","2",null,"장건우","010-7514-5026","1","1000","선유고등학교",null,"y3675v","64cjsfzy"
"100020039","8zcbr@school.com","010-8869-1422","모","M","1","2",null,"윤민서","010-5515-9496","1","1000","선유고등학교",null,"blhzt6","lzu1d7bp"
"100020040","9may6@school.com","010-3663-1754","모","M","1","2",null,"장건우","010-9902-3495","1","1000","선유고등학교",null,"ldk2mt","cahyqlxb"
"100020041","m138o@school.com","010-5818-8524","모","M","1","2",null,"윤선우","010-3160-3705","1","1000","선유고등학교",null,"35y0xw","b3sjox9r"
"100020042","mhs0i@school.com","010-4484-2993","부","M","1","2",null,"박현우","010-7409-4361","1","1000","선유고등학교",null,"7o106f","9q4zuyp6"
"100020043","1u65f@school.com","010-7429-3876","부","F","1","2",null,"서지훈","010-5638-1514","1","1000","선유고등학교",null,"3li71t","74px5uil"
"100020044","179td@school.com","010-4808-2051","부","M","1","2",null,"김지호","010-4363-5675","1","1000","선유고등학교",null,"jl16yf","e1xh5mpc"
"100020045","tzmjo@school.com","010-9523-3233","부","M","1","2",null,"강서진","010-4809-2852","1","1000","선유고등학교",null,"9sne7j","5ro4fzt2"
"100020046","bat34@school.com","010-1861-2011","부","F","1","2",null,"오지훈","010-5375-3884","1","1000","선유고등학교",null,"3adk45","lp3sr9z1"
"100020047","80n3y@school.com","010-4430-3128","모","F","1","2",null,"최예은","010-9706-8939","1","1000","선유고등학교",null,"iqkbet","rg17qcl8"
"100020048","hfodb@school.com","010-3144-9935","모","F","1","2",null,"서지훈","010-2047-1126","1","1000","선유고등학교",null,"cv41hm","izxbwqly"
"100020049","o1tav@school.com","010-2225-6351","모","F","1","2",null,"강지우","010-1427-1770","1","1000","선유고등학교",null,"ai7z60","a6wgsb30"
"100020050","qbkhx@school.com","010-1655-3396","모","F","1","3",null,"이지훈","010-9523-2253","1","1000","선유고등학교",null,"zmeqlh","suni4bwp"
"100020051","q76ul@school.com","010-6284-1183","부","M","1","3",null,"서민준","010-9344-7814","1","1000","선유고등학교",null,"6194qe","ht5xpolm"
"100020052","7pcqi@school.com","010-6223-8305","부","M","1","3",null,"신현준","010-5000-5896","1","1000","선유고등학교",null,"z5tdhm","yuengmox"
"100020053","w1uf2@school.com","010-6052-9131","부","F","1","3",null,"이우진","010-8794-2095","1","1000","선유고등학교",null,"4oqvaf","08htnof3"
"100020054","59fk2@school.com","010-5581-6585","모","F","1","3",null,"정현우","010-5236-7568","1","1000","선유고등학교",null,"g1hjnc","4fzwer3d"
"100020055","94ogp@school.com","010-9756-2359","모","F","1","3",null,"오건우","010-4380-8944","1","1000","선유고등학교",null,"jbdsfk","6mjz5k4x"
"100020056","0c3uv@school.com","010-4443-4137","모","M","1","3",null,"오우진","010-8296-5549","1","1000","선유고등학교",null,"7xmntj","3dwk5q4h"
"100020057","z83f7@school.com","010-5849-6082","모","F","1","3",null,"조선우","010-9873-3668","1","1000","선유고등학교",null,"19kvju","v2qi0g5f"
"100020058","dh1i0@school.com","010-2609-2105","모","M","1","3",null,"윤민준","010-7575-2923","1","1000","선유고등학교",null,"4f6nz9","nruzfj59"
"100020059","v5i4p@school.com","010-7763-4995","모","M","1","3",null,"임건우","010-6762-4358","1","1000","선유고등학교",null,"hn1pzg","6nw93usr"
"100020060","klf4j@school.com","010-3016-7202","모","F","1","3",null,"신지우","010-7611-2405","1","1000","선유고등학교",null,"k7onup","yws1h5xa"
"100020061","ra0g3@school.com","010-5274-8714","부","F","1","3",null,"이지후","010-7193-6872","1","1000","선유고등학교",null,"fl01tw","shbxz34r"
"100020062","yohgq@school.com","010-2332-5202","모","F","1","3",null,"윤도현","010-6602-3129","1","1000","선유고등학교",null,"3p8qs5","ifaw35ys"
"100020063","k3mwg@school.com","010-1611-2053","부","M","1","3",null,"조예은","010-2103-3160","1","1000","선유고등학교",null,"npqkg5","isypghoj"
"100020064","np2v3@school.com","010-2159-3703","모","F","1","3",null,"한서현","010-5366-7206","1","1000","선유고등학교",null,"bqfhud","wy56ugmh"
"100020065","l3jqb@school.com","010-6624-2944","모","M","1","3",null,"최하윤","010-6506-3004","1","1000","선유고등학교",null,"ut0bnj","aj6l1p0f"
"100020066","3m27a@school.com","010-1193-3677","모","M","1","3",null,"김민서","010-6951-1646","1","1000","선유고등학교",null,"nvuki0","o59di78h"
"100020067","4p3nb@school.com","010-9671-8587","모","F","1","3",null,"김예은","010-7258-8075","1","1000","선유고등학교",null,"gbos5r","st9e7laj"
"100020068","o1q0x@school.com","010-1954-1491","모","M","1","3",null,"서서윤","010-8881-7890","1","1000","선유고등학교",null,"egxymb","3r9qglfe"
"100020069","sxljp@school.com","010-2500-3766","부","M","1","3",null,"정서윤","010-3056-5012","1","1000","선유고등학교",null,"a8vg3c","49lspdjy"
"100020070","p320h@school.com","010-5752-9767","모","F","1","3",null,"임현우","010-1123-9002","1","1000","선유고등학교",null,"n8khmd","5fjgp1qm"
"100020071","bicm2@school.com","010-9145-3017","모","M","1","3",null,"박윤서","010-8635-2007","1","1000","선유고등학교",null,"7i6zrd","0si6jlua"
"100020072","9qloy@school.com","010-7306-7676","부","F","1","3",null,"임주원","010-2857-2326","1","1000","선유고등학교",null,"hcuv0s","m5zv4of6"
"100020073","j5nat@school.com","010-2017-2801","부","M","1","3",null,"정수아","010-4068-2258","1","1000","선유고등학교",null,"qoypa9","hvsl17fq"
"100020074","rlajo@school.com","010-2659-9029","모","F","1","3",null,"김선우","010-4493-9853","1","1000","선유고등학교",null,"8zgx2v","pit7umz9"
"100020075","1jeqw@school.com","010-3392-6497","부","F","1","3",null,"한지후","010-7760-5446","1","1000","선유고등학교",null,"aw14uk","n76kg80f"
"100020076","kzsl5@school.com","010-2421-5072","모","M","1","4",null,"정현준","010-3374-3302","1","1000","선유고등학교",null,"vapk73","ek32c96i"
"100020077","znlo1@school.com","010-4982-6425","부","M","1","4",null,"최시우","010-7913-2889","1","1000","선유고등학교",null,"kucz9n","wdselo6v"
"100020078","0rte4@school.com","010-7143-2979","부","F","1","4",null,"이지훈","010-6682-1119","1","1000","선유고등학교",null,"m4g3rb","0qwza9if"
"100020079","qzs8l@school.com","010-5301-3368","부","F","1","4",null,"한도윤","010-9203-7343","1","1000","선유고등학교",null,"pojsw8","0plwk75x"
"100020080","cvk9h@school.com","010-8159-7091","모","M","1","4",null,"김건우","010-4185-6618","1","1000","선유고등학교",null,"6vyub1","zt8as64y"
"100020081","bhswy@school.com","010-9673-9570","모","M","1","4",null,"이선우","010-5585-2957","1","1000","선유고등학교",null,"5thrzw","uy401r9w"
"100020082","g79dr@school.com","010-9125-5547","부","F","1","4",null,"임서진","010-1375-9513","1","1000","선유고등학교",null,"nr7tgk","fiutymnh"
"100020083","r8xl6@school.com","010-3847-5459","부","M","1","4",null,"조주원","010-4596-9753","1","1000","선유고등학교",null,"dtufik","6sr7qta8"
"100020084","txrzh@school.com","010-6101-5179","부","M","1","4",null,"한민준","010-5454-9331","1","1000","선유고등학교",null,"mp5x2q","t0qlk5bd"
"100020085","nymli@school.com","010-6308-2245","모","M","1","4",null,"정서연","010-2659-3155","1","1000","선유고등학교",null,"fs0dn1","bmokr2eh"
"100020086","tg16x@school.com","010-6928-6912","모","M","1","4",null,"박민서","010-3050-9451","1","1000","선유고등학교",null,"vywnzf","sd5gx0n4"
"100020087","xdhki@school.com","010-2545-7403","부","M","1","4",null,"장지호","010-5249-1327","1","1000","선유고등학교",null,"f1d930","9tplyjv8"
"100020088","j4gm5@school.com","010-6569-6754","부","F","1","4",null,"최예준","010-9987-9710","1","1000","선유고등학교",null,"ig8ye2","my1qo3u0"
"100020089","6iv3p@school.com","010-7925-2434","모","M","1","4",null,"정지호","010-9270-4174","1","1000","선유고등학교",null,"6otdxu","d3leg1av"
"100020090","kl5zt@school.com","010-6482-9637","모","F","1","4",null,"윤다은","010-9541-2069","1","1000","선유고등학교",null,"5tb7ow","6qpcbge9"
"100020091","sq9m7@school.com","010-1713-1264","모","F","1","4",null,"오서현","010-5180-2898","1","1000","선유고등학교",null,"l7z16n","qznuderm"
"100020092","bgiv2@school.com","010-8365-1152","부","F","1","4",null,"이서진","010-6703-2689","1","1000","선유고등학교",null,"dcmklp","e3b5azu4"
"100020093","lu4ta@school.com","010-1437-2122","모","M","1","4",null,"신민서","010-5281-5719","1","1000","선유고등학교",null,"2anxlu","r6n85ipb"
"100020094","xv5co@school.com","010-3674-2191","모","F","1","4",null,"임서준","010-1563-4914","1","1000","선유고등학교",null,"6oev84","cr0eo7lg"
"100020095","t2uwv@school.com","010-6812-3447","부","M","1","4",null,"서지후","010-9067-9792","1","1000","선유고등학교",null,"bezqth","3f859zdg"
"100020096","g1nle@school.com","010-9236-4894","모","F","1","4",null,"신하준","010-7095-6518","1","1000","선유고등학교",null,"gocd6l","sc5hqekl"
"100020097","mekux@school.com","010-6847-7784","부","M","1","4",null,"최하윤","010-5355-2683","1","1000","선유고등학교",null,"omd74j","n09mwrvk"
"100020098","vku1l@school.com","010-5943-8249","모","F","1","4",null,"오채원","010-7805-9031","1","1000","선유고등학교",null,"jkaqep","i07p9v6w"
"100020099","ise6v@school.com","010-6025-2015","모","F","1","4",null,"정준서","010-6527-7882","1","1000","선유고등학교",null,"nz1oia","dx2wjs7u"
"100020100","06xq8@school.com","010-4963-5503","부","M","1","4",null,"박예준","010-1654-3534","1","1000","선유고등학교",null,"dje59h","3bqc0yes"
"100020101","0held@school.com","010-4760-8117","모","M","1","5",null,"박채원","010-6879-8930","1","1000","선유고등학교",null,"4g83no","kp0ufag9"
"100020102","ekgq9@school.com","010-6615-4872","부","M","1","5",null,"서은서","010-9153-2108","1","1000","선유고등학교",null,"h80atp","erlx03kp"
"100020103","dcmxk@school.com","010-7475-9041","모","F","1","5",null,"임지후","010-3721-2086","1","1000","선유고등학교",null,"7qfpra","iqr612wc"
"100020104","fk9z5@school.com","010-9695-3231","부","M","1","5",null,"김수아","010-9324-4358","1","1000","선유고등학교",null,"srjxib","rtm4y3ef"
"100020105","mei9y@school.com","010-6608-4343","부","M","1","5",null,"강건우","010-5852-4507","1","1000","선유고등학교",null,"j716m9","ely9pf3x"
"100020106","a52k9@school.com","010-6172-6202","모","M","1","5",null,"한민서","010-9834-6341","1","1000","선유고등학교",null,"q4ls7t","9pcq87hv"
"100020107","tc0vp@school.com","010-6945-9230","부","F","1","5",null,"한다은","010-9666-1291","1","1000","선유고등학교",null,"v8c7rb","76vckjai"
"100020108","vr4au@school.com","010-2522-4778","부","F","1","5",null,"서준우","010-2709-5875","1","1000","선유고등학교",null,"fh89br","6z7mnd1w"
"100020109","g6cid@school.com","010-1592-3641","부","F","1","5",null,"오지후","010-9510-4654","1","1000","선유고등학교",null,"oq43x8","rsqojx64"
"100020110","6gwh3@school.com","010-8681-7096","모","M","1","5",null,"한준우","010-7043-2571","1","1000","선유고등학교",null,"2raxy3","1l504cho"
"100020111","johv9@school.com","010-4407-5695","모","M","1","5",null,"윤시우","010-9806-9530","1","1000","선유고등학교",null,"x57s62","pjy73gto"
"100020112","hobf8@school.com","010-6984-7067","모","M","1","5",null,"강건우","010-3795-3777","1","1000","선유고등학교",null,"b1p9tx","ikhogp3z"
"100020113","gdr50@school.com","010-4406-5925","모","F","1","5",null,"강지민","010-5786-2361","1","1000","선유고등학교",null,"ur3p48","xr5posbu"
"100020114","782qt@school.com","010-3489-1566","부","F","1","5",null,"신하윤","010-1577-4558","1","1000","선유고등학교",null,"rlu2im","sut6g2e4"
"100020115","267hp@school.com","010-3546-9529","부","M","1","5",null,"장서윤","010-9272-3104","1","1000","선유고등학교",null,"9slz8c","4zbnhip8"
"100020116","v2g6p@school.com","010-4247-2340","부","M","1","5",null,"이서연","010-8751-2858","1","1000","선유고등학교",null,"570ke8","trd5iboc"
"100020117","u8z6s@school.com","010-8210-9460","모","M","1","5",null,"윤다은","010-2599-7181","1","1000","선유고등학교",null,"djhaz8","efivplgd"
"100020118","mf852@school.com","010-1248-8766","부","M","1","5",null,"임지민","010-9385-6560","1","1000","선유고등학교",null,"vnjfr7","6kz1p08g"
"100020119","tkow1@school.com","010-6925-8723","모","F","1","5",null,"박건우","010-8193-7374","1","1000","선유고등학교",null,"qaxn7m","5iav0ozt"
"100020120","7z0nj@school.com","010-1710-7611","부","M","1","5",null,"임윤서","010-7241-9132","1","1000","선유고등학교",null,"iw0pe3","yuwjf7cv"
"100020121","on7wi@school.com","010-4625-8026","부","M","1","5",null,"최현준","010-1363-2393","1","1000","선유고등학교",null,"z24rn6","omh51x32"
"100020122","lvec5@school.com","010-3231-5940","부","M","1","5",null,"한시우","010-8689-1675","1","1000","선유고등학교",null,"u8adf6","rki0uxdt"
"100020123","5d6ec@school.com","010-8218-1592","부","F","1","5",null,"강지우","010-9383-7691","1","1000","선유고등학교",null,"sde3tk","rjga58tk"
"100020124","9whit@school.com","010-6232-7759","부","F","1","5",null,"조지민","010-4288-2515","1","1000","선유고등학교",null,"zovsht","gswj8oah"
"100020125","8hlpe@school.com","010-2656-8393","모","M","1","5",null,"서하준","010-4405-6351","1","1000","선유고등학교",null,"q8tfys","hmp0itx6"
"100020126","wb46d@school.com","010-9717-7019","부","F","1","6",null,"김주원","010-3287-6419","1","1000","선유고등학교",null,"rszi56","8iez9oja"
"100020127","zd54l@school.com","010-8022-6658","모","M","1","6",null,"강서진","010-1508-3803","1","1000","선유고등학교",null,"lufi4g","j8pa2m6e"
"100020128","xpekz@school.com","010-4532-4058","부","M","1","6",null,"김채원","010-9982-8562","1","1000","선유고등학교",null,"dqjy24","zv0coqin"
"100020129","x36yc@school.com","010-7242-8058","모","F","1","6",null,"김우진","010-6606-6381","1","1000","선유고등학교",null,"i1h6od","rm09vp61"
"100020130","jkwa5@school.com","010-5263-2993","부","F","1","6",null,"한하준","010-7381-2677","1","1000","선유고등학교",null,"2wk04t","wvdc20sr"
"100020131","1noka@school.com","010-7296-4324","모","M","1","6",null,"최시우","010-6124-3817","1","1000","선유고등학교",null,"tlo46q","kvajn918"
"100020132","mx0k3@school.com","010-4657-5529","부","F","1","6",null,"최은서","010-4052-3992","1","1000","선유고등학교",null,"q59u3x","15hgjwne"
"100020133","ns9iv@school.com","010-4166-3277","모","M","1","6",null,"최하준","010-7044-8729","1","1000","선유고등학교",null,"kj5lev","iumxzdtw"
"100020134","6jdxn@school.com","010-6557-8021","부","M","1","6",null,"장지훈","010-7417-9342","1","1000","선유고등학교",null,"xtq9i6","u6wphfai"
"100020135","41kzq@school.com","010-5473-5296","부","M","1","6",null,"강수빈","010-1928-3906","1","1000","선유고등학교",null,"nt0941","bnq4j5xi"
"100020136","zp23i@school.com","010-4073-6920","부","M","1","6",null,"조수아","010-1738-8661","1","1000","선유고등학교",null,"ohmalv","8mgp2o5t"
"100020137","wdk1q@school.com","010-1870-7835","부","M","1","6",null,"김수빈","010-3301-7818","1","1000","선유고등학교",null,"vk8n56","umqy6af0"
"100020138","35qi7@school.com","010-9112-7660","부","F","1","6",null,"이서진","010-2590-3019","1","1000","선유고등학교",null,"0nvmyt","5t8nc7up"
"100020139","vp835@school.com","010-8828-4234","부","F","1","6",null,"오현준","010-2189-8386","1","1000","선유고등학교",null,"t6k21o","dcljir8b"
"100020140","579t3@school.com","010-3046-5895","부","M","1","6",null,"임서준","010-8145-6465","1","1000","선유고등학교",null,"9pecns","q1o2irha"
"100020141","1dv2y@school.com","010-5266-9066","모","F","1","6",null,"오주원","010-1113-1114","1","1000","선유고등학교",null,"g0xjyu","6p5240fv"
"100020142","y8d02@school.com","010-9339-1136","부","M","1","6",null,"서서연","010-7581-2277","1","1000","선유고등학교",null,"pigcvx","3mzvcga0"
"100020143","pegma@school.com","010-6536-2285","모","F","1","6",null,"이다은","010-7424-5524","1","1000","선유고등학교",null,"dnezwf","ebq67l9p"
"100020144","ouecv@school.com","010-2395-7249","부","F","1","6",null,"정지후","010-4683-4188","1","1000","선유고등학교",null,"rq2b6v","c6z2xgdt"
"100020145","prasf@school.com","010-4874-6651","부","F","1","6",null,"조건우","010-8381-7173","1","1000","선유고등학교",null,"r6qa8k","tadzfw6l"
"100020146","3f4c9@school.com","010-8998-8764","부","M","1","6",null,"오하준","010-8093-2085","1","1000","선유고등학교",null,"wzrv14","w6iprdn3"
"100020147","rw9fc@school.com","010-1512-8466","모","F","1","6",null,"정도윤","010-4969-5788","1","1000","선유고등학교",null,"orkv3y","hqgfs4vw"
"100020148","twcjz@school.com","010-5463-9656","모","F","1","6",null,"신우진","010-4055-9427","1","1000","선유고등학교",null,"ckghxn","xjl18ny7"
"100020149","gyof0@school.com","010-1302-2772","부","M","1","6",null,"박건우","010-5869-5727","1","1000","선유고등학교",null,"i9emgb","zvimyjq8"
"100020150","oi4w0@school.com","010-6917-3572","부","F","1","6",null,"한다은","010-9743-5210","1","1000","선유고등학교",null,"yxpbh0","kflmw7bp"
"100020151","i7wup@school.com","010-2678-7715","모","F","1","7",null,"최준우","010-8024-1443","1","1000","선유고등학교",null,"ozuw0k","lmr92w5e"
"100020152","bemvl@school.com","010-9380-5084","부","F","1","7",null,"조수아","010-1914-9665","1","1000","선유고등학교",null,"tlrg0z","60q53wmh"
"100020153","6n4jh@school.com","010-6120-5321","모","F","1","7",null,"윤지훈","010-7086-9332","1","1000","선유고등학교",null,"62cgqj","vlb590mg"
"100020154","0h21p@school.com","010-3117-1394","모","M","1","7",null,"한도현","010-4966-6728","1","1000","선유고등학교",null,"qrb12h","30ciy8rd"
"100020155","h4yxp@school.com","010-3776-5823","모","M","1","7",null,"강서윤","010-6615-2321","1","1000","선유고등학교",null,"r1507n","qa7b1ezo"
"100020156","bum3q@school.com","010-9665-8286","모","M","1","7",null,"박채원","010-5807-7769","1","1000","선유고등학교",null,"7h6ykl","nm8vlpux"
"100020157","ykumf@school.com","010-8003-5199","모","M","1","7",null,"이하윤","010-9524-1798","1","1000","선유고등학교",null,"dj619f","p0a8xqgs"
"100020158","bvk91@school.com","010-1938-9412","모","F","1","7",null,"최서진","010-3851-6135","1","1000","선유고등학교",null,"qru1ye","ma8yn9b1"
"100020159","lvq70@school.com","010-9340-8974","부","M","1","7",null,"장서진","010-2950-8918","1","1000","선유고등학교",null,"wnm12o","pkomd24u"
"100020160","cuwl9@school.com","010-1538-7123","부","M","1","7",null,"임도현","010-3271-4968","1","1000","선유고등학교",null,"te83uj","21xjtz4c"
"100020161","lp3rd@school.com","010-6051-8168","모","M","1","7",null,"장서진","010-4307-4648","1","1000","선유고등학교",null,"ouhfgd","draj7tg1"
"100020162","4nojh@school.com","010-8105-4383","부","F","1","7",null,"정서진","010-7799-5614","1","1000","선유고등학교",null,"d3wygt","0k5n2qz1"
"100020163","zuxs0@school.com","010-5569-9812","부","M","1","7",null,"박지우","010-2547-2364","1","1000","선유고등학교",null,"rp1x57","1lae5wbx"
"100020164","70yov@school.com","010-5428-4615","부","F","1","7",null,"신예준","010-8678-2771","1","1000","선유고등학교",null,"ubn7fy","tbq5079z"
"100020165","yrn6v@school.com","010-3691-9332","부","M","1","7",null,"김수아","010-8850-4176","1","1000","선유고등학교",null,"dymuih","ib5rco2k"
"100020166","ap0h9@school.com","010-6859-6750","부","M","1","7",null,"오주원","010-3297-7539","1","1000","선유고등학교",null,"w0tljv","h9vsb2ey"
"100020167","d07c5@school.com","010-2968-7573","부","F","1","7",null,"신예은","010-6484-7659","1","1000","선유고등학교",null,"41tgai","u1ie6vlz"
"100020168","jvtn5@school.com","010-7030-1612","모","M","1","7",null,"강윤서","010-4268-6177","1","1000","선유고등학교",null,"5rvly9","5h81mc9b"
"100020169","0hrq7@school.com","010-9468-8638","모","M","1","7",null,"장현준","010-9595-7472","1","1000","선유고등학교",null,"nvkg0r","14c7ibsd"
"100020170","rd34v@school.com","010-2366-4675","부","M","1","7",null,"박서윤","010-9825-4599","1","1000","선유고등학교",null,"x5bgiy","3jfsr0nd"
